Lugar de residencia;Medida;Valor;
Benitagla;Población;58;
Benitagla;Confirmados total;;
Benitagla;Defunciones total;;
Benitagla;Confirmados < 14 días;;
Castro de Filabres;Población;123;
Castro de Filabres;Confirmados total;;
Castro de Filabres;Defunciones total;;
Castro de Filabres;Confirmados < 14 días;;
Senés;Población;295;
Senés;Confirmados total;;
Senés;Defunciones total;;
Senés;Confirmados < 14 días;;
Tabernas;Población;3688;
Tabernas;Confirmados total;1;
Tabernas;Defunciones total;;
Tabernas;Confirmados < 14 días;0;
Tahal;Población;362;
Tahal;Confirmados total;;
Tahal;Defunciones total;;
Tahal;Confirmados < 14 días;;
Turrillas;Población;240;
Turrillas;Confirmados total;;
Turrillas;Defunciones total;;
Turrillas;Confirmados < 14 días;;
Velefique;Población;242;
Velefique;Confirmados total;;
Velefique;Defunciones total;;
Velefique;Confirmados < 14 días;;
Levante-Alto Almanzora;Población;150044;
Levante-Alto Almanzora;Confirmados total;90;
Levante-Alto Almanzora;Defunciones total;13;
Levante-Alto Almanzora;Confirmados < 14 días;9;
Albox;Población;23876;
Albox;Confirmados total;19;
Albox;Defunciones total;3;
Albox;Confirmados < 14 días;1;
Albanchez;Población;741;
Albanchez;Confirmados total;;
Albanchez;Defunciones total;;
Albanchez;Confirmados < 14 días;;
Albox;Población;11805;
Albox;Confirmados total;13;
Albox;Defunciones total;3;
Albox;Confirmados < 14 días;1;
Arboleas;Población;4596;
Arboleas;Confirmados total;3;
Arboleas;Defunciones total;;
Arboleas;Confirmados < 14 días;0;
Cantoria;Población;3204;
Cantoria;Confirmados total;3;
Cantoria;Defunciones total;;
Cantoria;Confirmados < 14 días;0;
Cóbdar;Población;171;
Cóbdar;Confirmados total;;
Cóbdar;Defunciones total;;
Cóbdar;Confirmados < 14 días;;
Oria;Población;2249;
Oria;Confirmados total;;
Oria;Defunciones total;;
Oria;Confirmados < 14 días;;
Partaloa;Población;1110;
Partaloa;Confirmados total;;
Partaloa;Defunciones total;;
Partaloa;Confirmados < 14 días;;
Cuevas de Almanzora;Población;14081;
Cuevas de Almanzora;Confirmados total;4;
Cuevas de Almanzora;Defunciones total;;
Cuevas de Almanzora;Confirmados < 14 días;0;
Cuevas del Almanzora;Población;14081;
Cuevas del Almanzora;Confirmados total;4;
Cuevas del Almanzora;Defunciones total;;
Cuevas del Almanzora;Confirmados < 14 días;0;
Huércal-Overa;Población;33112;
Huércal-Overa;Confirmados total;20;
Huércal-Overa;Defunciones total;2;
Huércal-Overa;Confirmados < 14 días;2;
Huércal-Overa;Población;19127;
Huércal-Overa;Confirmados total;15;
Huércal-Overa;Defunciones total;2;
Huércal-Overa;Confirmados < 14 días;0;
Pulpí;Población;10055;
Pulpí;Confirmados total;4;
Pulpí;Defunciones total;;
Pulpí;Confirmados < 14 días;1;
Taberno;Población;925;
Taberno;Confirmados total;;
Taberno;Defunciones total;;
Taberno;Confirmados < 14 días;;
Zurgena;Población;3005;
Zurgena;Confirmados total;1;
Zurgena;Defunciones total;;
Zurgena;Confirmados < 14 días;1;
Los Vélez;Población;11169;
Los Vélez;Confirmados total;5;
Los Vélez;Defunciones total;1;
Los Vélez;Confirmados < 14 días;0;
Chirivel;Población;1472;
Chirivel;Confirmados total;;
Chirivel;Defunciones total;;
Chirivel;Confirmados < 14 días;;
