Fecha diagnóstico;Edad;Medida;Valor;
13/02/2022;De 70 a 79 años; ;64;
13/02/2022;De 80 y más años; ;83;
12/02/2022;TOTAL; ;1593;
12/02/2022;De 0 a 4 años; ;63;
12/02/2022;De 5 a 11 años; ;106;
12/02/2022;De 12 a 19 años; ;116;
12/02/2022;De 20 a 29 años; ;183;
12/02/2022;De 30 a 39 años; ;293;
12/02/2022;De 40 a 49 años; ;288;
12/02/2022;De 50 a 59 años; ;203;
12/02/2022;De 60 a 69 años; ;91;
12/02/2022;De 65 años; ;5;
12/02/2022;De 66 años; ;11;
12/02/2022;De 67 años; ;12;
12/02/2022;De 68 años; ;7;
12/02/2022;De 69 años; ;7;
12/02/2022;De 70 a 79 años; ;104;
12/02/2022;De 80 y más años; ;144;
11/02/2022;TOTAL; ;4215;
11/02/2022;De 0 a 4 años; ;147;
11/02/2022;De 5 a 11 años; ;305;
11/02/2022;De 12 a 19 años; ;325;
11/02/2022;De 20 a 29 años; ;560;
11/02/2022;De 30 a 39 años; ;811;
11/02/2022;De 40 a 49 años; ;927;
11/02/2022;De 50 a 59 años; ;440;
11/02/2022;De 60 a 69 años; ;274;
11/02/2022;De 65 años; ;26;
11/02/2022;De 66 años; ;22;
11/02/2022;De 67 años; ;24;
11/02/2022;De 68 años; ;23;
11/02/2022;De 69 años; ;19;
11/02/2022;De 70 a 79 años; ;192;
11/02/2022;De 80 y más años; ;234;
10/02/2022;TOTAL; ;4775;
10/02/2022;De 0 a 4 años; ;177;
10/02/2022;De 5 a 11 años; ;317;
10/02/2022;De 12 a 19 años; ;348;
10/02/2022;De 20 a 29 años; ;602;
10/02/2022;De 30 a 39 años; ;962;
10/02/2022;De 40 a 49 años; ;1019;
10/02/2022;De 50 a 59 años; ;517;
10/02/2022;De 60 a 69 años; ;307;
10/02/2022;De 65 años; ;34;
10/02/2022;De 66 años; ;27;
10/02/2022;De 67 años; ;20;
10/02/2022;De 68 años; ;26;
10/02/2022;De 69 años; ;24;
10/02/2022;De 70 a 79 años; ;267;
10/02/2022;De 80 y más años; ;257;
09/02/2022;TOTAL; ;5171;
