Territorio;Edad;Sexo;Medida;Valor;
Córdoba Sur;TOTAL;Mujeres;Nº casos;275;
Córdoba Sur;De 0 a 14 años;Ambos sexos;Nº casos;1;
Córdoba Sur;De 0 a 14 años;Hombres;Nº casos;1;
Córdoba Sur;De 0 a 14 años;Mujeres;Nº casos;;
Córdoba Sur;De 15 a 29 años;Ambos sexos;Nº casos;16;
Córdoba Sur;De 15 a 29 años;Hombres;Nº casos;5;
Córdoba Sur;De 15 a 29 años;Mujeres;Nº casos;11;
Córdoba Sur;De 30 a 44 años;Ambos sexos;Nº casos;77;
Córdoba Sur;De 30 a 44 años;Hombres;Nº casos;23;
Córdoba Sur;De 30 a 44 años;Mujeres;Nº casos;54;
Córdoba Sur;De 45 a 64 años;Ambos sexos;Nº casos;151;
Córdoba Sur;De 45 a 64 años;Hombres;Nº casos;55;
Córdoba Sur;De 45 a 64 años;Mujeres;Nº casos;96;
Córdoba Sur;De 65 a 84 años;Ambos sexos;Nº casos;144;
Córdoba Sur;De 65 a 84 años;Hombres;Nº casos;77;
Córdoba Sur;De 65 a 84 años;Mujeres;Nº casos;67;
Córdoba Sur;De 85 y más años;Ambos sexos;Nº casos;73;
Córdoba Sur;De 85 y más años;Hombres;Nº casos;26;
Córdoba Sur;De 85 y más años;Mujeres;Nº casos;47;
Guadalquivir;TOTAL;Ambos sexos;Nº casos;50;
Guadalquivir;TOTAL;Hombres;Nº casos;31;
Guadalquivir;TOTAL;Mujeres;Nº casos;19;
Guadalquivir;De 15 a 29 años;Ambos sexos;Nº casos;1;
Guadalquivir;De 15 a 29 años;Hombres;Nº casos;1;
Guadalquivir;De 15 a 29 años;Mujeres;Nº casos;;
Guadalquivir;De 30 a 44 años;Ambos sexos;Nº casos;10;
Guadalquivir;De 30 a 44 años;Hombres;Nº casos;7;
Guadalquivir;De 30 a 44 años;Mujeres;Nº casos;3;
Guadalquivir;De 45 a 64 años;Ambos sexos;Nº casos;21;
Guadalquivir;De 45 a 64 años;Hombres;Nº casos;12;
Guadalquivir;De 45 a 64 años;Mujeres;Nº casos;9;
Guadalquivir;De 65 a 84 años;Ambos sexos;Nº casos;16;
Guadalquivir;De 65 a 84 años;Hombres;Nº casos;9;
Guadalquivir;De 65 a 84 años;Mujeres;Nº casos;7;
Guadalquivir;De 85 y más años;Ambos sexos;Nº casos;2;
Guadalquivir;De 85 y más años;Hombres;Nº casos;2;
Guadalquivir;De 85 y más años;Mujeres;Nº casos;;
Córdoba Norte;TOTAL;Ambos sexos;Nº casos;195;
Córdoba Norte;TOTAL;Hombres;Nº casos;72;
Córdoba Norte;TOTAL;Mujeres;Nº casos;123;
Córdoba Norte;De 15 a 29 años;Ambos sexos;Nº casos;9;
Córdoba Norte;De 15 a 29 años;Hombres;Nº casos;3;
Córdoba Norte;De 15 a 29 años;Mujeres;Nº casos;6;
Córdoba Norte;De 30 a 44 años;Ambos sexos;Nº casos;21;
Córdoba Norte;De 30 a 44 años;Hombres;Nº casos;3;
Córdoba Norte;De 30 a 44 años;Mujeres;Nº casos;18;
Córdoba Norte;De 45 a 64 años;Ambos sexos;Nº casos;44;
Córdoba Norte;De 45 a 64 años;Hombres;Nº casos;17;
Córdoba Norte;De 45 a 64 años;Mujeres;Nº casos;27;
Córdoba Norte;De 65 a 84 años;Ambos sexos;Nº casos;64;
Córdoba Norte;De 65 a 84 años;Hombres;Nº casos;27;
Córdoba Norte;De 65 a 84 años;Mujeres;Nº casos;37;
Córdoba Norte;De 85 y más años;Ambos sexos;Nº casos;57;
Córdoba Norte;De 85 y más años;Hombres;Nº casos;22;
Córdoba Norte;De 85 y más años;Mujeres;Nº casos;35;
Granada Sur;TOTAL;Ambos sexos;Nº casos;158;
Granada Sur;TOTAL;Hombres;Nº casos;70;
Granada Sur;TOTAL;Mujeres;Nº casos;88;
Granada Sur;De 0 a 14 años;Ambos sexos;Nº casos;2;
Granada Sur;De 0 a 14 años;Hombres;Nº casos;1;
Granada Sur;De 0 a 14 años;Mujeres;Nº casos;1;
Granada Sur;De 15 a 29 años;Ambos sexos;Nº casos;15;
Granada Sur;De 15 a 29 años;Hombres;Nº casos;9;
Granada Sur;De 15 a 29 años;Mujeres;Nº casos;6;
Granada Sur;De 30 a 44 años;Ambos sexos;Nº casos;16;
Granada Sur;De 30 a 44 años;Hombres;Nº casos;2;
Granada Sur;De 30 a 44 años;Mujeres;Nº casos;14;
Granada Sur;De 45 a 64 años;Ambos sexos;Nº casos;73;
Granada Sur;De 45 a 64 años;Hombres;Nº casos;36;
Granada Sur;De 45 a 64 años;Mujeres;Nº casos;37;
Granada Sur;De 65 a 84 años;Ambos sexos;Nº casos;47;
Granada Sur;De 65 a 84 años;Hombres;Nº casos;20;
Granada Sur;De 65 a 84 años;Mujeres;Nº casos;27;
Granada Sur;De 85 y más años;Ambos sexos;Nº casos;5;
Granada Sur;De 85 y más años;Hombres;Nº casos;2;
Granada Sur;De 85 y más años;Mujeres;Nº casos;3;
Granada Nordeste;TOTAL;Ambos sexos;Nº casos;95;
Granada Nordeste;TOTAL;Hombres;Nº casos;49;
Granada Nordeste;TOTAL;Mujeres;Nº casos;46;
Granada Nordeste;De 15 a 29 años;Ambos sexos;Nº casos;6;
Granada Nordeste;De 15 a 29 años;Hombres;Nº casos;1;
Granada Nordeste;De 15 a 29 años;Mujeres;Nº casos;5;
Granada Nordeste;De 30 a 44 años;Ambos sexos;Nº casos;20;
