Lugar de residencia;Edad;Sexo;Medida;Valor;
Almería;De 68 años;Ambos sexos;Tasa_PDIA;7142,857142857143;
Almería;De 68 años;Ambos sexos;Confirmados PDIA 14 días;24;
Almería;De 68 años;Ambos sexos;Tasa PDIA 14 dias;380,95238095238096;
Almería;De 68 años;Ambos sexos;Confirmados PDIA 7 días;20;
Almería;De 68 años;Ambos sexos;Tasa PDIA 7 dias;317,46031746031747;
Almería;De 68 años;Ambos sexos;Fallecidos;15;
Almería;De 68 años;Ambos sexos;Tasa_Mortalidad;238,0952380952381;
Almería;De 68 años;Ambos sexos;Total Confirmados;454;
Almería;De 68 años;Ambos sexos;Tasa_total;7206,349206349207;
Almería;De 69 años;Ambos sexos;Confirmados PDIA;439;
Almería;De 69 años;Ambos sexos;Tasa_PDIA;7557,238767429851;
Almería;De 69 años;Ambos sexos;Confirmados PDIA 14 días;34;
Almería;De 69 años;Ambos sexos;Tasa PDIA 14 dias;585,298674470649;
Almería;De 69 años;Ambos sexos;Confirmados PDIA 7 días;21;
Almería;De 69 años;Ambos sexos;Tasa PDIA 7 dias;361,50800482010675;
Almería;De 69 años;Ambos sexos;Fallecidos;21;
Almería;De 69 años;Ambos sexos;Tasa_Mortalidad;361,50800482010675;
Almería;De 69 años;Ambos sexos;Total Confirmados;441;
Almería;De 69 años;Ambos sexos;Tasa_total;7591,668101222242;
Almería;De 70 a 79 años;Ambos sexos;Confirmados PDIA;3218;
Almería;De 70 a 79 años;Ambos sexos;Tasa_PDIA;6770,033450444954;
Almería;De 70 a 79 años;Ambos sexos;Confirmados PDIA 14 días;199;
Almería;De 70 a 79 años;Ambos sexos;Tasa PDIA 14 dias;418,6565123177582;
Almería;De 70 a 79 años;Ambos sexos;Confirmados PDIA 7 días;139;
Almería;De 70 a 79 años;Ambos sexos;Tasa PDIA 7 dias;292,42841815159994;
Almería;De 70 a 79 años;Ambos sexos;Fallecidos;257;
Almería;De 70 a 79 años;Ambos sexos;Tasa_Mortalidad;540,6770033450445;
Almería;De 70 a 79 años;Ambos sexos;Total Confirmados;3235;
Almería;De 70 a 79 años;Ambos sexos;Tasa_total;6805,798077125365;
Almería;De 80 y más años;Ambos sexos;Confirmados PDIA;2274;
Almería;De 80 y más años;Ambos sexos;Tasa_PDIA;7905,165820760621;
Almería;De 80 y más años;Ambos sexos;Confirmados PDIA 14 días;107;
Almería;De 80 y más años;Ambos sexos;Tasa PDIA 14 dias;371,9669053744003;
Almería;De 80 y más años;Ambos sexos;Confirmados PDIA 7 días;84;
Almería;De 80 y más años;Ambos sexos;Tasa PDIA 7 dias;292,0114023499965;
Almería;De 80 y más años;Ambos sexos;Fallecidos;429;
