Lugar de residencia;Edad;Sexo;Medida;Valor;
Córdoba;De 45 a 64 años;Ambos sexos;Tasa PDIA 7 dias;128,00442826130202;
Córdoba;De 45 a 64 años;Ambos sexos;Fallecidos;71;
Córdoba;De 45 a 64 años;Ambos sexos;Tasa_Mortalidad;30,703764887001498;
Córdoba;De 45 a 64 años;Ambos sexos;Total Confirmados;14858;
Córdoba;De 45 a 64 años;Ambos sexos;Tasa_total;6425,303361846031;
Córdoba;De 65 a 84 años;Ambos sexos;Confirmados PDIA;6434;
Córdoba;De 65 a 84 años;Ambos sexos;Tasa_PDIA;5108,132998824986;
Córdoba;De 65 a 84 años;Ambos sexos;Confirmados PDIA 14 días;217;
Córdoba;De 65 a 84 años;Ambos sexos;Tasa PDIA 14 dias;172,2823843246848;
Córdoba;De 65 a 84 años;Ambos sexos;Confirmados PDIA 7 días;123;
Córdoba;De 65 a 84 años;Ambos sexos;Tasa PDIA 7 dias;97,65314871860015;
Córdoba;De 65 a 84 años;Ambos sexos;Fallecidos;391;
Córdoba;De 65 a 84 años;Ambos sexos;Tasa_Mortalidad;310,4258629997777;
Córdoba;De 65 a 84 años;Ambos sexos;Total Confirmados;6494;
Córdoba;De 65 a 84 años;Ambos sexos;Tasa_total;5155,768681126743;
Córdoba;De 85 y más años;Ambos sexos;Confirmados PDIA;2136;
Córdoba;De 85 y más años;Ambos sexos;Tasa_PDIA;7848,036153874416;
Córdoba;De 85 y más años;Ambos sexos;Confirmados PDIA 14 días;25;
Córdoba;De 85 y más años;Ambos sexos;Tasa PDIA 14 dias;91,85435573354889;
Córdoba;De 85 y más años;Ambos sexos;Confirmados PDIA 7 días;10;
Córdoba;De 85 y más años;Ambos sexos;Tasa PDIA 7 dias;36,74174229341955;
Córdoba;De 85 y más años;Ambos sexos;Fallecidos;455;
Córdoba;De 85 y más años;Ambos sexos;Tasa_Mortalidad;1671,7492743505898;
Córdoba;De 85 y más años;Ambos sexos;Total Confirmados;2174;
Córdoba;De 85 y más años;Ambos sexos;Tasa_total;7987,654774589411;
Granada;TOTAL;Ambos sexos;Confirmados PDIA;77403;
Granada;TOTAL;Ambos sexos;Tasa_PDIA;8420,985064754212;
Granada;TOTAL;Ambos sexos;Confirmados PDIA 14 días;3927;
Granada;TOTAL;Ambos sexos;Tasa PDIA 14 dias;427,2341944018939;
Granada;TOTAL;Ambos sexos;Confirmados PDIA 7 días;1889;
Granada;TOTAL;Ambos sexos;Tasa PDIA 7 dias;205,51194123381143;
Granada;TOTAL;Ambos sexos;Fallecidos;1640;
Granada;TOTAL;Ambos sexos;Tasa_Mortalidad;178,42222531680824;
Granada;TOTAL;Ambos sexos;Total Confirmados;78234;
Granada;TOTAL;Ambos sexos;Tasa_total;8511,392911850717;
Granada;De 0 a 14 años;Ambos sexos;Confirmados PDIA;9317;
Granada;De 0 a 14 años;Ambos sexos;Tasa_PDIA;6863,149520456119;
Granada;De 0 a 14 años;Ambos sexos;Confirmados PDIA 14 días;490;
Granada;De 0 a 14 años;Ambos sexos;Tasa PDIA 14 dias;360,94700708634736;
Granada;De 0 a 14 años;Ambos sexos;Confirmados PDIA 7 días;247;
Granada;De 0 a 14 años;Ambos sexos;Tasa PDIA 7 dias;181,94675663332202;
Granada;De 0 a 14 años;Ambos sexos;Fallecidos;0;
Granada;De 0 a 14 años;Ambos sexos;Tasa_Mortalidad;0;
